profile_id,stop_depth_fsw,duration_air_min,duration_o2_min,can_enter_chamber
231,30,38,19,0
231,20,433,105,1
232,60,3,3,0
232,50,23,23,0
232,40,25,25,0
232,30,47,24,0
232,20,480,113,1
233,20,0,0,1
234,20,3,2,1
235,20,8,5,1
236,20,17,9,1
237,30,2,1,0
237,20,32,17,1
238,30,5,3,0
238,20,44,23,1
239,30,6,3,0
239,20,66,30,1
240,40,1,1,0
240,30,11,6,0
240,20,84,33,1
241,40,2,2,0
241,30,20,10,0
241,20,118,36,1
242,40,4,4,0
242,30,28,14,0
242,20,146,40,1
243,40,12,12,0
243,30,28,14,0
243,20,170,46,1
244,50,1,1,0
244,40,26,26,0
244,30,28,14,0
244,20,235,63,1
245,50,12,12,0
245,40,26,26,0
245,30,28,14,0
245,20,297,79,1
246,50,22,22,0
246,40,25,25,0
246,30,28,14,0
246,20,375,95,1
247,60,6,6,0
247,50,23,23,0
247,40,26,26,0
247,30,38,20,0
247,20,444,106,1
248,60,17,17,0
248,50,24,24,0
248,40,27,27,0
248,30,57,29,0
248,20,534,130,1
249,70,13,13,0
249,60,21,21,0
249,50,45,45,0
249,40,57,57,0
249,30,94,46,0
249,20,658,198,1
250,20,0,0,1
251,20,5,3,1
252,20,13,7,1
253,30,3,2,0
253,20,24,12,1
254,30,7,4,0
254,20,37,19,1
255,40,2,2,0
255,30,7,4,0
255,20,58,26,1
256,40,4,4,0
256,30,7,4,0
256,20,82,33,1
257,40,5,5,0
257,30,18,9,0
257,20,114,36,1
258,40,8,8,0
258,30,27,14,0
258,20,145,39,1
259,50,1,1,0
259,40,15,15,0
259,30,29,15,0
259,20,171,45,1
260,50,2,2,0
260,40,23,23,0
260,30,28,14,0
260,20,209,56,1
261,50,14,14,0
261,40,25,25,0
261,30,29,15,0
261,20,276,74,1
262,60,2,2,0
262,50,24,24,0
262,40,25,25,0
262,30,29,15,0
262,20,362,91,1
263,60,12,12,0
263,50,23,23,0
263,40,26,26,0
263,30,38,19,0
263,20,443,107,1
264,20,0,0,1
265,20,2,1,1
266,20,8,5,1
267,30,2,1,0
267,20,15,8,1
268,30,7,4,0
268,20,29,14,1
269,40,4,4,0
269,30,7,4,0
269,20,45,22,1
270,40,6,6,0
270,30,7,4,0
270,20,74,30,1
271,50,2,2,0
271,40,6,6,0
271,30,14,7,0
271,20,106,35,1
272,50,3,3,0
272,40,8,8,0
272,30,24,12,0
272,20,142,40,1
273,50,4,4,0
273,40,14,14,0
273,30,28,14,0
273,20,170,46,1
274,50,7,7,0
274,40,21,21,0
274,30,28,14,0
274,20,212,57,1
275,50,11,11,0
275,40,26,26,0
275,30,28,14,0
275,20,248,67,1
276,60,3,3,0
276,50,24,24,0
276,40,25,25,0
276,30,28,14,0
276,20,330,85,1
277,60,15,15,0
277,50,23,23,0
277,40,26,26,0
277,30,35,18,0
277,20,430,104,1
278,70,3,3,0
278,60,22,22,0
278,50,23,23,0
278,40,26,26,0
278,30,47,24,0
278,20,496,118,1
279,80,3,3,0
279,70,20,20,0
279,60,22,22,0
279,50,23,23,0
279,40,50,50,0
279,30,75,37,0
279,20,608,168,1
280,90,2,2,0
280,80,19,19,0
280,70,20,20,0
280,60,42,42,0
280,50,48,48,0
280,40,79,79,0
280,30,121,58,0
280,20,694,222,1
281,20,0,0,1
282,20,4,2,1
283,30,2,1,0
283,20,10,6,1
284,40,1,1,0
284,30,4,2,0
284,20,19,10,1
285,40,4,4,0
285,30,7,4,0
285,20,35,17,1
286,50,2,2,0
286,40,6,6,0
286,30,7,4,0
286,20,62,26,1
287,50,4,4,0
287,40,6,6,0
287,30,8,4,0
287,20,89,34,1
288,50,6,6,0
288,40,6,6,0
288,30,21,11,0
288,20,134,38,1
289,60,2,2,0
289,50,5,5,0
289,40,11,11,0
289,30,28,14,0
289,20,166,45,1
290,60,2,2,0
290,50,8,8,0
290,40,19,19,0
290,30,28,15,0
290,20,207,55,1
291,60,3,3,0
291,50,11,11,0
291,40,26,26,0
291,30,28,14,0
291,20,248,67,1
292,60,6,6,0
292,50,17,17,0
292,40,25,25,0
292,30,29,15,0
292,20,291,77,1
293,60,15,15,0
293,50,23,23,0
293,40,26,26,0
293,30,29,15,0
293,20,399,99,1
294,70,6,6,0
294,60,21,21,0
294,50,24,24,0
294,40,25,25,0
294,30,44,23,0
294,20,482,114,1
295,20,0,0,1
296,20,6,3,1
297,30,3,2,0
297,20,13,6,1
298,40,3,3,0
298,30,6,3,0
298,20,24,12,1
299,50,1,1,0
299,40,7,7,0
299,30,7,4,0
299,20,41,20,1
300,50,5,5,0
300,40,7,7,0
300,30,7,3,0
300,20,77,30,1
301,60,2,2,0
301,50,6,6,0
301,40,6,6,0
301,30,15,8,0
301,20,120,37,1
302,60,4,4,0
302,50,6,6,0
302,40,9,9,0
302,30,25,12,0
302,20,158,44,1
303,60,5,5,0
303,50,7,7,0
303,40,16,16,0
303,30,28,14,0
303,20,197,53,1
304,70,1,1,0
304,60,5,5,0
304,50,11,11,0
304,40,23,23,0
304,30,28,14,0
304,20,244,66,1
305,70,2,2,0
305,60,7,7,0
305,50,16,16,0
305,40,26,26,0
305,30,28,14,0
305,20,289,77,1
306,70,2,2,0
306,60,11,11,0
306,50,21,21,0
306,40,26,26,0
306,30,28,14,0
306,20,344,88,1
307,70,7,7,0
307,60,19,19,0
307,50,24,24,0
307,40,25,25,0
307,30,39,20,0
307,20,454,109,1
308,70,17,17,0
308,60,22,22,0
308,50,23,23,0
308,40,26,26,0
308,30,53,27,0
308,20,525,128,1
