profile_id,dive_depth_m,bottom_time_min,ascent_to_1st_stop_min,total_deco_air_min,total_deco_o2_min
879,57,30,4,184,91
880,57,30,4,127,63
881,57,35,3:40,269:40,131:40
882,57,35,3:40,165:40,79:40
883,57,40,3:40,401:40,194:40
884,57,40,3:40,212:40,99:40
885,57,45,3:40,556:40,268:40
886,57,45,3:40,261:40,121:40
887,57,50,3:40,317:40,148:40
888,57,55,3:20,377:20,175:20
889,57,60,3:20,426:20,199:20
890,57,65,3:20,472:20,218:20
891,57,70,3,517,236
892,57,75,3,560,254
893,57,80,3,599,271
894,60,5,6:40,6:40,0
895,60,10,5:40,19:40,13:40
896,60,10,5:40,20:40,13:40
897,60,15,5,39,22
898,60,15,5,41,23
899,60,20,4:40,82:40,43:40
900,60,20,4:40,69:40,36:40
901,60,25,4:20,137:20,67:20
902,60,25,4:20,106:20,52:20
903,60,30,4,217,106
904,60,30,4,145,70
905,60,35,4,331,160
906,60,35,4,192,91
907,60,40,3:40,506:40,243:40
908,60,40,3:40,243:40,112:40
909,60,45,3:40,635:40,305:40
910,60,45,3:40,301:40,139:40
911,60,50,3:40,368:40,170:40
912,60,55,3:40,422:40,194:40
913,60,60,3:20,474:20,217:20
914,60,65,3:20,522:20,238:20
915,60,70,3:20,568:20,257:20
916,63,5,6:20,8:20,7:20
917,63,5,6:40,8:40,7:40
918,63,10,5:40,22:40,14:40
919,63,10,5:40,23:40,15:40
920,63,15,5,47,27
921,63,15,5,48,27
922,63,20,4:40,101:40,51:40
923,63,20,4:40,78:40,40:40
924,63,25,4:20,169:20,82:20
925,63,25,4:20,121:20,58:20
926,63,30,4:20,266:20,129:20
927,63,30,4:20,166:20,80:20
928,63,35,4,422,202
929,63,35,4,221,102
930,63,40,4,591,284
931,63,40,4,279,128
932,63,45,3:40,349:40,159:40
933,63,50,3:40,412:40,188:40
934,63,55,3:40,469:40,214:40
935,63,60,3:40,520:40,236:40
936,63,65,3:20,572:20,258:20
937,66,5,6:40,9:40,8:40
938,66,5,7,10,9
939,66,10,6,26,17
940,66,10,6,27,18
941,66,15,5:20,54:20,30:20
942,66,15,5:20,55:20,31:20
943,66,20,5,118,59
944,66,20,5,92,46
945,66,25,4:40,198:40,95:40
946,66,25,4:40,135:40,63:40
947,66,30,4:20,317:20,152:20
948,66,30,4:20,188:20,88:20
949,66,35,4,518,248
950,66,35,4,250,114
951,66,40,4,321,147
952,66,45,4,394,180
953,66,50,3:40,454:40,207:40
954,66,55,3:40,513:40,232:40
955,66,60,3:40,569:40,255:40
